NZ_MUTR01000001.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex
NZ_BAOP01000115.1, Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia
NC_011071.1, Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group
MTKC01000003, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_CP048408.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
NZ_CP050013.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia
NC_017168.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia
NZ_MWMD01000001.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex
CP004353, Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium
NZ_CWGL01000001.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia
NC_021505.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
LT708304.1, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
NZ_CP027793.1, Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus
NZ_GG657757, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NC_021883.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Mannheimia
NZ_CP021654.1, Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas
NZ_CP010450.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
NC_022112.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus
NZ_CP042449.1, Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
NZ_MIGA01000001, Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
NZ_AP019750.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
CP032788, Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium
NZ_CP046062.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc
